root=bm001 (Кровати и матрасы)
tree_size=16
suspect_count=486

id=12053 | sku=50585382 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12054 | sku=20578991 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12055 | sku=80564566 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12057 | sku=30357220 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12059 | sku=30605767 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12060 | sku=70606388 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12061 | sku=10620486 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12063 | sku=60620969 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12064 | sku=20606343 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12066 | sku=30612145 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12067 | sku=80622000 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12068 | sku=30491327 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12069 | sku=70620983 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12072 | sku=10357301 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12073 | sku=20351006 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12074 | sku=20479774 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12076 | sku=30620065 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12078 | sku=00606358 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12079 | sku=40595310 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12080 | sku=30603198 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12082 | sku=10459818 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12084 | sku=10621462 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12085 | sku=90579510 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12086 | sku=40536306 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12089 | sku=00357226 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),bm002(Наматрасники и чехлы для матрасов),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12090 | sku=40576830 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12091 | sku=90573631 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12092 | sku=10554047 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12093 | sku=80591230 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
